,0,1,2,3,4
0,0077f36f-0255-44f1-a766-99aa18b2048f,0077f36f-0255-44f1-a766-99aa18b2048f,"{'recipient': {'id': '0077f36f-0255-44f1-a766-99aa18b2048f'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. You have a concern with ""Billing"". Is that right?', 'buttons': [{'type': 'postback', 'title': 'Yes', 'payload': 'Yes'}, {'type': 'postback', 'title': 'No', 'payload': 'No'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}","{'recipient': {'id': '0077f36f-0255-44f1-a766-99aa18b2048f'}, 'message': {'seq': 0, 'text': 'I want to be sure I understand clearly. Can you describe the issue more specifically?', 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}",
1,02afac17-0625-4a52-9cde-bb853db687ba,02afac17-0625-4a52-9cde-bb853db687ba,"{'recipient': {'id': '02afac17-0625-4a52-9cde-bb853db687ba'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': '{$botContext.disamb01}', 'payload': '{$botContext.disamb01}'}, {'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}","{'recipient': {'id': '02afac17-0625-4a52-9cde-bb853db687ba'}, 'message': {'seq': 0, 'text': 'successTransfer setup', 'delay': 2000}, 'agentEscalation': False, 'source': 'lp_inapp'}",
2,043d8c73-fc54-4915-86ee-a3db970ba591,043d8c73-fc54-4915-86ee-a3db970ba591,"{'recipient': {'id': '043d8c73-fc54-4915-86ee-a3db970ba591'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': '{$botContext.disamb01}', 'payload': '{$botContext.disamb01}'}, {'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}","{'recipient': {'id': '043d8c73-fc54-4915-86ee-a3db970ba591'}, 'message': {'seq': 0, 'text': 'successTransfer setup', 'delay': 2000}, 'agentEscalation': False, 'source': 'lp_inapp'}",
3,064e9599-712b-46e3-9816-7ee54bdfd0e4,064e9599-712b-46e3-9816-7ee54bdfd0e4,"{'recipient': {'id': '064e9599-712b-46e3-9816-7ee54bdfd0e4'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': '{$botContext.disamb01}', 'payload': '{$botContext.disamb01}'}, {'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}","{'recipient': {'id': '064e9599-712b-46e3-9816-7ee54bdfd0e4'}, 'message': {'seq': 0, 'text': 'successTransfer setup', 'delay': 2000}, 'agentEscalation': False, 'source': 'lp_inapp'}",
4,06be6395-7f0d-4193-b36f-439c4bd8403f,06be6395-7f0d-4193-b36f-439c4bd8403f,,,
5,06c3152e-ef8e-4cea-bdc9-167cf9f3bfbb,06c3152e-ef8e-4cea-bdc9-167cf9f3bfbb,"{'recipient': {'id': '06c3152e-ef8e-4cea-bdc9-167cf9f3bfbb'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. You have a concern with ""Billing"". Is that right?', 'buttons': [{'type': 'postback', 'title': 'Yes', 'payload': 'Yes'}, {'type': 'postback', 'title': 'No', 'payload': 'No'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}","{'recipient': {'id': '06c3152e-ef8e-4cea-bdc9-167cf9f3bfbb'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. You have a concern with ""Invoice"". Is that right?', 'buttons': [{'type': 'postback', 'title': 'Yes', 'payload': 'Yes'}, {'type': 'postback', 'title': 'No', 'payload': 'No'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}",
6,074ce9f1-81af-4f9e-be9f-d38ef6185fb2,074ce9f1-81af-4f9e-be9f-d38ef6185fb2,"{'recipient': {'id': '074ce9f1-81af-4f9e-be9f-d38ef6185fb2'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. You have a concern with ""Billing"". Is that right?', 'buttons': [{'type': 'postback', 'title': 'Yes', 'payload': 'Yes'}, {'type': 'postback', 'title': 'No', 'payload': 'No'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}","{'recipient': {'id': '074ce9f1-81af-4f9e-be9f-d38ef6185fb2'}, 'message': {'seq': 0, 'text': 'I want to be sure I understand clearly. Can you describe the issue more specifically?', 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}",
7,078f96f9-878c-498d-a4fe-e04d6b45eb33,078f96f9-878c-498d-a4fe-e04d6b45eb33,"{'recipient': {'id': '078f96f9-878c-498d-a4fe-e04d6b45eb33'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': '{$botContext.disamb01}', 'payload': '{$botContext.disamb01}'}, {'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}","{'recipient': {'id': '078f96f9-878c-498d-a4fe-e04d6b45eb33'}, 'message': {'seq': 0, 'text': 'successTransfer setup', 'delay': 2000}, 'agentEscalation': False, 'source': 'lp_inapp'}",
8,0995593c-2e6a-4bcd-99e4-8ec004b6a24a,0995593c-2e6a-4bcd-99e4-8ec004b6a24a,"{'recipient': {'id': '0995593c-2e6a-4bcd-99e4-8ec004b6a24a'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. You have a concern with ""Billing"". Is that right?', 'buttons': [{'type': 'postback', 'title': 'Yes', 'payload': 'Yes'}, {'type': 'postback', 'title': 'No', 'payload': 'No'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}","{'recipient': {'id': '0995593c-2e6a-4bcd-99e4-8ec004b6a24a'}, 'message': {'seq': 0, 'text': 'I want to be sure I understand clearly. Can you describe the issue more specifically?', 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}",
9,09a70566-86c2-45a0-8903-c917340f4a69,09a70566-86c2-45a0-8903-c917340f4a69,"{'recipient': {'id': '09a70566-86c2-45a0-8903-c917340f4a69'}, 'message': {'seq': 0, 'attachment': {'type': 'template', 'payload': {'template_type': 'button', 'text': 'Ok. I want to make sure I understand clearly. Which category below best describes your issue?', 'buttons': [{'type': 'postback', 'title': '{$botContext.disamb01}', 'payload': '{$botContext.disamb01}'}, {'type': 'postback', 'title': 'Billing or invoice', 'payload': 'Billing or invoice'}, {'type': 'postback', 'title': 'Something else', 'payload': 'Something else'}]}}, 'delay': 0}, 'agentEscalation': False, 'source': 'lp_inapp'}","{'recipient': {'id': '09a70566-86c2-45a0-8903-c917340f4a69'}, 'message': {'seq': 0, 'text': 'successTransfer setup', 'delay': 2000}, 'agentEscalation': False, 'source': 'lp_inapp'}",
